ID_AGENTE;HORAS_LOGADO;HORAS_FALANDO;%_TEMPO_FALADO;QTDE_VENDA;QTDE_LINHA;QTDE_LIGACOES;%_CONVERSAO_VENDA;RANKING;Quartile
20931;6,32;3,07;0,49;10;11;103;0,1;1;1
20920;8,79;4,35;0,49;8;8;87;0,09;2;1
20971;2,24;1,54;0,69;2;3;30;0,07;3;1
21004;9,95;3,72;0,37;7;7;98;0,07;4;1
20808;8,25;4,41;0,53;7;8;116;0,06;5;1
20846;8,51;4,36;0,51;5;5;88;0,06;6;1
20935;6,45;3,78;0,59;5;5;105;0,05;7;1
20501;7,94;3,83;0,48;4;4;87;0,05;8;1
20673;8,26;3,92;0,47;6;6;133;0,05;9;1
21015;11,94;3,28;0,27;5;5;95;0,05;10;1
20986;5,11;2,19;0,43;3;3;85;0,04;11;1
20939;6,66;3,05;0,46;7;7;193;0,04;12;1
20937;7,67;4,58;0,6;7;6;167;0,04;13;1
20774;8,12;3,63;0,45;5;5;139;0,04;14;1
20845;8,19;3,86;0,47;5;5;138;0,04;15;1
20665;8,21;3,3;0,4;5;5;129;0,04;16;1
20726;8,37;3,69;0,44;6;11;140;0,04;17;2
20727;8,93;4,45;0,5;6;6;138;0,04;18;2
20994;10,12;3,92;0,39;4;4;106;0,04;19;2
20933;6,75;4,13;0,61;4;5;121;0,03;20;2
20974;7,1;2,84;0,4;4;7;155;0,03;21;2
20762;7,18;3,34;0,47;3;3;99;0,03;22;2
20738;7,58;3,08;0,41;3;5;112;0,03;23;2
20614;7,85;3,52;0,45;4;5;127;0,03;24;2
20640;8,15;3,77;0,46;4;4;139;0,03;25;2
20830;8,95;4,46;0,5;6;6;172;0,03;26;2
20897;9,03;4,35;0,48;3;3;112;0,03;27;2
20969;9,07;4,73;0,52;6;6;181;0,03;28;2
20891;9,14;4,85;0,53;5;5;195;0,03;29;2
20882;9,72;3,51;0,36;5;5;191;0,03;30;2
20990;9,82;4,19;0,43;2;2;64;0,03;31;2
21001;10,13;4,08;0,4;3;3;117;0,03;32;2
20628;3,08;0,99;0,32;1;1;52;0,02;33;3
20926;5,87;3,09;0,53;3;4;128;0,02;34;3
20954;6,51;3,67;0,56;3;3;128;0,02;35;3
20958;6,78;3,76;0,55;3;3;131;0,02;36;3
20972;7,11;3,43;0,48;3;3;194;0,02;37;3
20975;7,33;4,14;0,56;2;2;102;0,02;38;3
20983;7,41;4,66;0,63;2;2;89;0,02;39;3
20724;7,49;2,43;0,32;2;2;105;0,02;40;3
20812;8,06;4,14;0,51;2;2;108;0,02;41;3
20911;8,28;2,88;0,35;2;2;126;0,02;42;3
20948;8,29;3,85;0,46;3;3;191;0,02;43;3
20842;8,53;4,38;0,51;3;3;136;0,02;44;3
20818;9,55;4,12;0,43;3;3;171;0,02;45;3
21012;9,77;4,25;0,44;2;3;93;0,02;46;3
20866;9,94;3,79;0,38;2;2;125;0,02;47;3
21010;10;4,05;0,4;2;2;108;0,02;48;4
21002;10,05;3,7;0,37;3;3;148;0,02;49;4
21013;10,13;3,92;0,39;2;2;100;0,02;50;4
20940;6,37;3,14;0,49;2;2;143;0,01;51;4
20612;6,42;1,77;0,28;1;1;78;0,01;52;4
20852;6,79;3,1;0,46;1;1;140;0,01;53;4
20981;7,26;3,55;0,49;2;2;155;0,01;54;4
20985;7,32;3,09;0,42;1;0;184;0,01;55;4
20238;7,99;3,15;0,39;1;1;156;0,01;56;4
20947;8,14;2,21;0,27;1;1;82;0,01;57;4
20713;8,15;3,42;0,42;2;3;190;0,01;58;4
20945;8,58;3,5;0,41;1;1;133;0,01;59;4
20869;8,77;4,06;0,46;1;1;167;0,01;60;4
20977;8,92;4,53;0,51;1;1;100;0,01;61;4
20365;9,05;4,36;0,48;2;2;148;0,01;62;4
21009;9,75;3,65;0,37;1;1;104;0,01;63;5
20884;9,78;4,27;0,44;2;3;173;0,01;64;5
21003;9,91;3,65;0,37;2;2;159;0,01;65;5
21014;9,94;3,32;0,33;1;1;96;0,01;66;5
20997;10,09;3,23;0,32;1;1;142;0,01;67;5
20989;10,14;3,96;0,39;1;1;101;0,01;68;5
20946;11,15;4,03;0,36;2;2;152;0,01;69;5
20996;2,43;0;0;0;0;1;0;70;5
20895;6,54;1,38;0,21;0;0;6;0;71;5
20952;6,9;3,12;0,45;0;0;125;0;72;5
20844;8,02;0,79;0,1;0;0;17;0;73;5
20979;9,16;4,65;0,51;0;0;82;0;74;5
20992;9,96;4,42;0,44;0;0;91;0;75;5
20999;10,02;3,9;0,39;0;0;84;0;76;5
21000;10,07;3,87;0,38;0;0;137;0;77;5
